split,asset,phase,scenario,return_column,events,independent_events,independent_events_per_day,mean_bps,net10_mean_bps,hit_rate,profit_factor,independent_mean_bps,independent_net10_mean_bps,independent_hit_rate,independent_profit_factor
all,ALL,placebo_07,sc_abs75,dir_bps_d30_h240,1160,111,6.166666666666667,-2.036639059084579,-12.036639059084578,0.4810344827586207,0.9520194879150948,-5.062849071079226,-15.062849071079226,0.4864864864864865,0.8923448643402393
all,ALL,placebo_07,sc_absorbed_1m,dir_bps_d30_h240,851,108,6.0,7.911648940740532,-2.088351059259468,0.5017626321974148,1.1743337288646822,16.53957103119155,6.539571031191549,0.5,1.3000151751725608
all,ALL,placebo_07,sc_aligned_1m,dir_bps_d30_h240,1810,120,6.666666666666667,-1.8595082524999462,-11.859508252499946,0.4740331491712707,0.9618092229394105,-2.1900977402152053,-12.190097740215204,0.4666666666666667,0.9543832254164833
all,ALL,placebo_07,sc_all,dir_bps_d30_h240,6912,126,7.0,-2.9800064324147195,-12.980006432414719,0.4917534722222222,0.9530872728067208,-3.461668065283856,-13.461668065283856,0.47619047619047616,0.9372113220772882
all,ALL,placebo_07,sc_burst125,dir_bps_d30_h240,2822,123,6.833333333333333,-4.488222750767988,-14.488222750767989,0.4939759036144578,0.9293840458666965,11.235711082493282,1.2357110824932818,0.4715447154471545,1.235012391281723
all,ALL,placebo_07,sc_consensus_flow,dir_bps_d30_h240,1332,117,6.5,-0.24542593638723867,-10.245425936387239,0.47297297297297297,0.994884635322272,4.399806595378087,-5.600193404621913,0.5213675213675214,1.088019789670617
all,ALL,placebo_07,sc_extreme_burst,dir_bps_d30_h240,1150,113,6.277777777777778,-0.7138051911396786,-10.713805191139679,0.4782608695652174,0.9850676075222284,-2.940107362379288,-12.940107362379289,0.40707964601769914,0.9422655754531566
all,ALL,placebo_07,sc_nonfunding_abs50,dir_bps_d30_h240,2661,124,6.888888888888889,1.2653526161387787,-8.73464738386122,0.4829011649755731,1.0265651013040535,-12.901532591459207,-22.90153259145921,0.5,0.7807398470977606
all,ALL,placebo_07,sc_nonfunding_extreme,dir_bps_d30_h240,1150,113,6.277777777777778,-0.7138051911396786,-10.713805191139679,0.4782608695652174,0.9850676075222284,-2.940107362379288,-12.940107362379289,0.40707964601769914,0.9422655754531566
all,ALL,placebo_07,sc_persistent_flow,dir_bps_d30_h240,1340,116,6.444444444444445,-0.9821732734073124,-10.982173273407312,0.4880597014925373,0.979540566822026,-5.237657419182855,-15.237657419182856,0.45689655172413796,0.9009948456618834
all,ALL,placebo_07,sc_reversal30,dir_bps_d30_h240,1349,116,6.444444444444445,-3.1684367462786795,-13.16843674627868,0.48035581912527797,0.9335729870150917,10.886888743641281,0.8868887436412809,0.5431034482758621,1.2091089912847177
all,ALL,placebo_07,sc_reversal30_5bps,dir_bps_d30_h240,1201,116,6.444444444444445,-1.8072735019715405,-11.80727350197154,0.48209825145711904,0.9624173709254484,11.573740376871527,1.5737403768715268,0.5086206896551724,1.2266995716334517
all,ALL,placebo_07,sc_reversal30_full,dir_bps_d30_h240,123,62,3.4444444444444446,-14.265397730995696,-24.265397730995694,0.44715447154471544,0.7483461244288362,-9.938480320667969,-19.93848032066797,0.4838709677419355,0.8182602983178742
all,ALL,placebo_07,sc_reversal30_realign,dir_bps_d30_h240,559,100,5.555555555555555,-11.533197935828033,-21.533197935828035,0.47048300536672627,0.7725282702200443,-8.23584248999646,-18.235842489996458,0.45,0.851404974336495
all,ALL,placebo_07,sc_reversal30_realign_burst,dir_bps_d30_h240,241,77,4.277777777777778,-15.159286414002677,-25.15928641400268,0.4854771784232365,0.7312181634661543,-21.728302693679804,-31.728302693679804,0.44155844155844154,0.6501299448247922
all,ALL,placebo_07,sc_reversal30_realign_price,dir_bps_d30_h240,316,91,5.055555555555555,-16.19176388471022,-26.19176388471022,0.4651898734177215,0.7023457145857701,-4.5413549208181045,-14.541354920818105,0.4835164835164835,0.9112829672064633
all,ALL,placebo_07,sc_abs50,dir_bps_d30_h480,2661,60,3.3333333333333335,6.251989158918437,-3.7480108410815633,0.5035700864336715,1.078677950170599,-7.533776878805644,-17.533776878805643,0.55,0.921074530953169
