group,policy,horizon_min,count,mean,median,win_rate,profit_factor,gross_profit,gross_loss,q10,q90,best,worst,top1_positive_share,top2_positive_share,mean_without_best,mean_without_worst
asset:XRPUSDT,delayed_continuation,240,55,-0.0010310760576750673,-0.0021918642831083,0.41818181818181815,0.8695699391043752,0.3780769603190529,0.4347861434911816,-0.02733355490029476,0.014912918024788259,0.0650691470054445,-0.0450678026614734,0.17210556007045158,0.30988188587378374,-0.0022551542625476517,-0.00021558112056769071
asset:XRPUSDT,delayed_continuation,480,55,0.0020633355023998144,5.0487621905416806e-05,0.509090909090909,1.2068384109494859,0.6621409873280224,0.5486575346960326,-0.031191708815705536,0.03250324883836026,0.1347044353512841,-0.0682784444735577,0.20343769367739198,0.374069077068714,-0.0003929811614684125,0.0033659610575101384
asset:XRPUSDT,delayed_continuation,720,55,0.0032274599079280077,0.0043814070351759,0.5272727272727272,1.265770887947324,0.8454175149744637,0.6679072200384233,-0.03814715880760594,0.055993539944009636,0.1191770523546819,-0.0862268264989738,0.14096827927474592,0.26369333548959245,0.00108024523298812,0.004884020767315078
asset:XRPUSDT,delayed_reversal,120,55,-0.006046249965743042,-0.0019729713952131,0.45454545454545453,0.39300310589854853,0.2153070750883236,0.5478508232041909,-0.01694134495308528,0.01149624019765814,0.0313781456953643,-0.1441867513611614,0.14573671432995086,0.28697321124537306,-0.0067392943298376215,-0.003488092532494553
asset:XRPUSDT,delayed_reversal,240,55,-0.002768923942324922,-0.0016081357168916,0.45454545454545453,0.683146412649779,0.3283438450721139,0.4806346618999846,-0.01871291802478826,0.023533554900294764,0.0412678026614734,-0.0688691470054445,0.12568471521800503,0.2226619829417362,-0.003584418879432299,-0.0015448457374523375
asset:XRPUSDT,delayed_reversal,480,55,-0.005863335502399803,-0.0038504876219054,0.4,0.5840187960897825,0.4527521820569084,0.7752356346888977,-0.03630324883836026,0.02739170881570558,0.0644784444735577,-0.1385044353512842,0.1424144311809261,0.2581026088244882,-0.007165961057510129,-0.0034070188385315735
asset:XRPUSDT,delayed_reversal,720,55,-0.007027459907928003,-0.0081814070351759,0.43636363636363634,0.5963896972407489,0.5711220853418963,0.9576323802779366,-0.05979353994400961,0.03434715880760594,0.0824268264989738,-0.1229770523546819,0.14432435483497338,0.2679694448914129,-0.008684020767315073,-0.004880245232988118
family:impulse_only_2atr,direct_continuation,120,71,-0.0008615850070731779,0.0003462888871848,0.5070422535211268,0.8618823830647191,0.38172922358954897,0.4429017590917446,-0.0213285714285713,0.0153226627761054,0.0745675143703187,-0.0892483178070352,0.19534138274542157,0.29379380282846895,-0.001939143569607347,0.0004010826043548511
family:impulse_only_2atr,direct_continuation,240,71,-0.0014324549837699174,-0.001204213374565,0.4788732394366197,0.8322446707595921,0.5045614065066875,0.6062657103543515,-0.0256167736021999,0.0209538266370581,0.0737282560846225,-0.1112928783645086,0.14612345521049142,0.23831982512901717,-0.0025061794276040952,0.00013697963595492117
family:impulse_only_2atr,direct_continuation,480,71,0.0018398479052026912,-0.0013272623138604,0.4647887323943662,1.1692977211770543,0.9022237647471663,0.771594563477775,-0.0284455815578065,0.0343834027948026,0.139493632432873,-0.11339637960926,0.1546109046151803,0.24097594152976543,-0.0001266347309068839,0.003486079726837873
family:impulse_only_2atr,direct_continuation,720,71,0.0026508627898750147,-0.0028690533477142,0.43661971830985913,1.1963439851461293,1.1467904472579677,0.9585791891768414,-0.0299551556352828,0.038197139448137,0.1832339550805127,-0.1961073170731706,0.1597798059084239,0.28369906778223947,7.110432858019012e-05,0.005490265359347096
