group,horizon_min,count,mean,median,win_rate,profit_factor,gross_profit,gross_loss,q10,q90,best,worst,top1_positive_share,top2_positive_share,mean_without_best,mean_without_worst
split:post_publication,720,9,-0.0020841167989455113,-0.0022628183731225,0.4444444444444444,0.44728739209386786,0.0151793036568456,0.0339363548473552,-0.0100755577982933,0.0041623549332651605,0.0079244694786482,-0.0166859001656021,0.5220575105284492,0.734308768540961,-0.003335190083644725,-0.0002588938781134376
split:post_publication,1440,9,-0.017237780550188278,-0.0189303733275787,0.1111111111111111,0.10061660371449084,0.0173559601781503,0.17249598512984482,-0.03292090842038742,-0.0021092501677568163,0.0173559601781503,-0.0354052991400255,1.0,1.0,-0.021561998141230602,-0.014966840726458625
split:source_history,60,40,0.009535404887682416,0.0028222629854745,0.6,3.978447002581785,0.5094749439680469,0.12805874846075033,-0.00928396707539598,0.030509340579221243,0.1418663095539577,-0.0215460916817611,0.2784559108030546,0.4488223726055477,0.006142304768034332,0.010332366338180967
split:source_history,120,40,0.003071379313416269,0.00057979045954725,0.55,1.6995687052644513,0.2984707648467857,0.1756155923101349,-0.015530260193877021,0.01834707341587357,0.085777959943185,-0.0250692509803139,0.28739149707750267,0.3926748366233249,0.0009506977588068156,0.0037929339363324288
split:source_history,240,40,0.0041331022250192095,0.0017606652600348,0.6,1.6680048593786523,0.4128134398335533,0.2474893508327849,-0.023819425530576418,0.03121745112546051,0.0653777759191731,-0.0477641104500543,0.15837123894399724,0.3111298199651519,0.002562725976451161,0.005463799985918531
split:source_history,480,40,0.008433693124270555,0.0025276228420913,0.55,2.1616068742956633,0.6277624362089697,0.2904147112381475,-0.02530210132153964,0.04809351799551229,0.0697009862591167,-0.04809523443505,0.11103083306487398,0.2107034685704969,0.00686273689004373,0.009883152805278772
split:source_history,720,40,0.012586236096488818,0.00034037846750325,0.5,2.01293224695712,1.000471278609044,0.49702183474949135,-0.03161512688443179,0.07457627134813895,0.2145204733434317,-0.0755081530285236,0.21441942205645292,0.33551948135087395,0.007408435141439,0.01484506658687375
split:source_history,1440,40,0.02005390471871259,0.0179701413070917,0.675,2.234677929371285,1.4518447995726824,0.6496886108241788,-0.037494302307635535,0.0837638483982951,0.2145204733434317,-0.1327278461413088,0.1477571661974964,0.2312076363838278,0.015067582446283896,0.023971385509995193
period:postpub_2026_04,60,6,-0.005078885320408433,-0.0053361715615286,0.16666666666666666,0.02775041769453679,0.0008697840037932,0.031343095926243805,-0.0089713711969564,-0.0009291132027403,0.0008697840037932,-0.0106802046295624,1.0,1.0,-0.006268619185248761,-0.00395862145857764
period:postpub_2026_04,120,6,-0.0037662732107868334,-0.00585839330131795,0.3333333333333333,0.1803542595195761,0.0049723682991269,0.0275700075638479,-0.007926610480606,0.00248618414956345,0.0043513954007592,-0.0082130396923301,0.8751152647971115,1.0,-0.00538980693309604,-0.00287691991447818
period:postpub_2026_04,240,6,-0.0019764862823919995,-0.0017241568936752498,0.3333333333333333,0.15615226265821985,0.002194467969404104,0.014053385663756102,-0.005302535938202801,0.001097233984702052,0.0021931755600208,-0.0079953486684567,0.9994110602654843,1.0,-0.0028104186508745594,-0.000772713805179059
period:postpub_2026_04,480,6,-0.0008187063994222499,-0.0008060974283634001,0.16666666666666666,0.34953972543898565,0.0026397038029324,0.0075519421994659,-0.00291183801157415,0.0012618162416708,0.0026397038029324,-0.0033194464158978,1.0,1.0,-0.0015103884398931801,-0.0003185583961271401
period:postpub_2026_04,720,6,-0.00324011209918175,-0.00245905269109295,0.3333333333333333,0.2380205765450385,0.0060727100457986,0.0255133826408891,-0.0102976386293516,0.0030363550228993,0.0032218262969194,-0.0166859001656021,0.5305417634995463,1.0,-0.00453249977840198,-0.0005509544858976799
period:postpub_2026_04,1440,6,-0.02517452785134582,-0.02774373248925155,0.0,0.0,0.0,0.15104716710807492,-0.0338525549402517,-0.013927296124534201,-0.0089242189214897,-0.0354052991400255,,,-0.028424589637317043,-0.02312837359360988
period:postpub_2026_07,60,3,0.0005828654887253666,0.0005888656012576,0.6666666666666666,17.842700254260333,0.0018524157136708,0.0001038192474947,3.471772225576e-05,0.0011286132101820802,0.0012635501124132,-0.0001038192474947,0.6821093683713755,1.0,0.00024252317688145,0.0009262078568354
period:postpub_2026_07,120,3,0.0004543995711352333,-0.0013327850255245,0.3333333333333333,1.4216793577805342,0.0045959837389302,0.0032327850255245002,-0.0017865570051049,0.0034102299860392597,0.0045959837389302,-0.0019,1.0,1.0,-0.0016163925127622501,0.0016315993567028498
period:postpub_2026_07,240,3,0.0021335592057137,0.002946738276133,1.0,,0.0064006776171411,-0.0,0.00088443557354772,0.00305741120971196,0.0030850794431067,0.0003688598979014,0.48199263072472454,0.9423717424990148,0.0016577990870172,0.00301590885961985
period:postpub_2026_07,480,3,0.0007293665024352332,-0.000518774116792,0.3333333333333333,1.4846653019832614,0.0067027604462092,0.0045146609389035,-0.0033004642810476,0.005258453533608961,0.0067027604462092,-0.0039958868221115,1.0,1.0,-0.00225733046945175,0.0030919931647086
period:postpub_2026_07,720,3,0.0002278738015269663,0.0011821241323988,0.6666666666666666,1.0811615410598292,0.009106593611046999,0.0084229722064661,-0.00650195293869312,0.006576000409398319,0.0079244694786482,-0.0084229722064661,0.8701903057401406,1.0,-0.00362042403703365,0.0045532968055234995
