scenario_id,family,direction,signal_ts_ns,signal_day_utc,signal_hour_utc,submission_ts_ns,reference_entry_price,expected_entry_price,stop_price,target_price,target_reason,liquidity_level,atr_at_signal,quantity,equity_before_entry,planned_loss_budget,loss_per_unit,net_rr_at_submission,fee_rate_per_fill,actual_entry_price,opened_ts_ns,opened_bar_index,actual_exit_price,closed_ts_ns,closed_day_utc,closed_hour_utc,duration_minutes,realized_pnl_after_cost,realized_return,realized_r_multiple,outcome,forced_exit_reason
LRB-1709122440000000000-000247,SAC,LONG,1709122560000000000,2024-02-28,12,1709122620000000000,59284.8,59300.0,59202.0,59536.8,ACCEPTED_RANGE_PROJECTION,59209.6,95.49499999999898,7.57,45721.05715664,1371.6317146992,181.19097228000368,0.8466991377634646,0.0007,59300.1,1709122620000000000,3616,59201.9,1709122800000000000,2024-02-28,12,3.0,-1371.316098,-0.0016559837167221824,-0.9997698969075899,STOP,
LRB-1709123460000000000-000248,SRR,SHORT,1709123520000000000,2024-02-28,12,1709123580000000000,59300.0,59330.0,59374.8,59114.8,OPPOSING_INTERNAL_LIQUIDITY,59347.1,75.48499999999949,10.383,44349.74105864,1330.4922317592,128.132187160005,1.0308778998289592,0.0007,59329.9,1709123580000000000,3632,59374.899999999994,1709123640000000000,2024-02-28,12,1.0,-1329.99335688,-0.0007584708553358884,-0.9996250448764061,STOP,
LRB-1709128800000000000-000253,SRR,SHORT,1709128860000000000,2024-02-28,14,1709128920000000000,60513.9,60590.9,60648.0,60248.0,OPPOSING_INTERNAL_LIQUIDITY,60625.0,100.06000000000022,9.077,43019.74770176,1290.5924310528,142.17203336000097,1.8154960852703084,0.0007,60590.8,1709128920000000000,3721,60648.1,1709128980000000000,2024-02-28,14,1.0,-1290.45194671,-0.000945688124269619,-0.9998911473991169,STOP,
LRB-1709131500000000000-000255,SRR,SHORT,1709131560000000000,2024-02-28,14,1709131620000000000,60331.6,60334.7,60452.4,59814.8,OPPOSING_INTERNAL_LIQUIDITY,60397.3,152.894999999999,6.182,41729.29575505,1251.8788726515,202.48259211999914,2.1512730819933563,0.0007,60334.59999999999,1709131620000000000,3766,60452.5,1709131800000000000,2024-02-28,14,3.0,-1251.55189654,-0.00195410262105009,-0.9997388117024393,STOP,
LRB-1709139480000000000-000265,SRR,SHORT,1709139660000000000,2024-02-28,17,1709139720000000000,62330.0,62310.8,62511.00000000001,61660.8,OPPOSING_INTERNAL_LIQUIDITY,62336.0,137.74000000000052,4.219,40477.74385851,1214.3323157553,287.79447343999954,1.9563262395911867,0.0007,62310.700000000004,1709139720000000000,3901,62511.100000000006,1709139840000000000,2024-02-28,17,2.0,-1214.12382194,-0.0032161410480062245,-0.9998283058001546,STOP,
LRB-1709143860000000000-000270,SRR,LONG,1709143980000000000,2024-02-28,18,1709144040000000000,60839.7,60590.3,60508.8,61721.100000000006,OPPOSING_INTERNAL_LIQUIDITY,60800.0,277.7049999999999,7.075,39263.62003657,1177.9086010971,166.48575852000042,6.27670516258878,0.0007,60590.4,1709144040000000000,3973,60508.700000000004,1709144340000000000,2024-02-28,18,5.0,-1177.77079275,-0.00134839842615327,-0.9998830059081226,STOP,
LRB-1709150460000000000-000278,SRR,SHORT,1709150520000000000,2024-02-28,20,1709150580000000000,61107.3,61125.1,61179.100000000006,60674.5,OPPOSING_INTERNAL_LIQUIDITY,61157.6,146.2050000000003,8.172,38085.84924382,1142.5754773145998,139.80933748000362,2.6117016687259755,0.0007,61124.99999999999,1709150580000000000,4082,60674.59999999999,1709150820000000000,2024-02-28,20,4.0,2983.92636816,0.007368507157464238,2.6115792150319344,TARGET,
LRB-1709159340000000000-000290,SRR,SHORT,1709159460000000000,2024-02-28,22,1709159520000000000,61314.3,61301.1,61406.700000000004,60985.7,OPPOSING_INTERNAL_LIQUIDITY,61394.2,83.67999999999992,6.427,41069.77561198,1232.0932683594,191.6898560800018,1.1977641628786981,0.0007,61300.99999999999,1709159520000000000,4231,61406.8,1709160780000000000,2024-02-28,22,21.0,-1232.02672142,-0.0017259098546518034,-0.9999459887160258,STOP,
LRB-1709160780000000000-000291,SRR,SHORT,1709160840000000000,2024-02-28,22,1709160900000000000,61343.9,61387.9,61436.1,61021.2,OPPOSING_INTERNAL_LIQUIDITY,61355.6,91.26999999999899,8.893,39837.74889056,1195.1324667167999,134.37840112000032,2.0897229588945394,0.0007,61387.80000000001,1709160900000000000,4254,61436.19999999999,1709161380000000000,2024-02-28,23,8.0,-1195.0128824,-0.0007884302744190152,-0.9998999405336814,STOP,
LRB-1709163660000000000-000295,SRR,SHORT,1709163720000000000,2024-02-28,23,1709163780000000000,62499.4,62548.3,62666.899999999994,62135.7,OPPOSING_INTERNAL_LIQUIDITY,62643.6,132.27000000000007,5.615,38642.73600816,1159.2820802448,206.43222711999772,1.574953700475338,0.0007,62548.19999999999,1709163780000000000,4302,62135.80000000001,1709165100000000000,2024-02-29,0,22.0,1825.555538,0.006593315235290219,1.574729368381599,OTHER_EXIT,
