symbol,side,ts,root_ts,source,entry,stop,target,root_low,root_high,entry_kind,pool,shift,rr,cost_r,scale,sweep_depth,shift_size,event_effort,flow,flow_resilience,retracement,event_minutes,trend_hour,eff_hour,trend_fourhour,eff_fourhour,relative_strength,market_direction,market_breadth,episode
SOLUSDT,-1,1763522700000000000,1763520900000000000,1763481600000000000,142.175,142.76,139.72,142.09,142.26,limit,142.08,140.62,4.196581196581365,0.2187307692307769,60.0,1.1252448131977975,0.016794698704429775,2.1941564888930256,0.024789278624861553,1.9233957710907585,2.6283703472456463,35.0,0.7221720442911009,0.09576837416480811,0.3358939740888819,0.013513513513512787,0.27816318034490095,1.1440808296449236,1.0,114
SOLUSDT,-1,1763544300000000000,1763538000000000000,1763526600000000000,139.6,141.06,137.04999999999998,139.48,139.72,limit,140.18,139.24,1.7465753424657517,0.08605479452054748,15.0,1.9595920298214105,0.42795688007593286,0.9887662022562028,0.05184981889641497,1.7500738866864434,1.238822547588203,110.0,2.9281260215721687,0.3714285714285786,-2.0271641687807715,-0.07653061224489777,0.2330679268634498,0.5841307950559166,1.0,116
SOLUSDT,-1,1763655000000000000,1763604600000000000,1763391600000000000,139.985,144.79,134.07,139.82,140.15,limit,143.3,136.94,1.2310093652445466,0.02621987513007296,60.0,1.601659704744123,1.0064483279811187,0.9952085999707014,0.018907663931104227,5.164842326423244,4.301754950241872,845.0,4.101547487148852,0.5786259541984603,6.558147169425308,0.30029732408324483,0.3525790873703696,2.961907720952791,1.0,124
SOLUSDT,-1,1763739600000000000,1763736000000000000,1763716500000000000,128.84,129.51,121.56,128.24,129.44,limit,128.81,126.51,10.865671641791248,0.17306865671642116,15.0,0.7080909719982382,1.2417247479969227,1.3755129209377777,0.0668164309710296,3.1041996610210796,3.6328145519909794,65.0,3.181278279992104,0.5381944444444255,-0.5336337759986699,-0.02078337330135877,-0.05255714069447737,1.8572762849898732,1.0,144
SOLUSDT,1,1763745000000000000,1763739600000000000,1763735400000000000,125.58500000000001,123.49,133.04000000000002,125.22,125.95,limit,126.07,129.5,3.558472553699268,0.05395059665871088,15.0,2.069559705598001,0.13689694550647286,1.3482888122513121,0.013388430816553545,2.499073157302419,3.2895530729057643,95.0,3.6559537211731254,0.49028077753778454,2.069559705598001,0.10027311744049916,0.060215427231439245,1.8138841224335382,1.0,145
SOLUSDT,1,1763760600000000000,1763757000000000000,1763749800000000000,127.28,125.86,130.31,127.26,127.3,limit,126.47,128.33,2.1338028169014067,0.08067042253521117,15.0,0.7289310605427182,0.2794235732080322,1.1192071407756854,0.04904838170302446,2.0527028428618377,1.5550529291578148,65.0,2.7942357320804425,0.5665024630541624,-1.4092667170492643,-0.061571125265392865,0.1822033943967898,1.3127432800142653,1.0,149
SOLUSDT,1,1763793300000000000,1763789700000000000,1763786700000000000,125.69999999999999,125.22,129.86,125.33,126.07,limit,125.57,127.23,8.666666666666904,0.235687500000005,15.0,0.5819525649036678,1.1810213817163007,1.3985624126267515,-0.008662124201027953,3.004006208264119,3.799807923782915,65.0,3.7313429161471765,0.4909909909909362,-0.10269751145359558,-0.0046511627906979,0.9073267176795428,2.210315411914193,1.0,153
SOLUSDT,1,1763852100000000000,1763844900000000000,1763823600000000000,127.165,126.0,129.86,127.04,127.29,limit,126.04,127.59,2.313304721030037,0.09823905579399089,15.0,0.08412141866512944,2.6077639786189333,1.3100439165928208,0.09334448927223642,6.103600019058754,3.7994840763748807,125.0,5.636135050563474,0.6463022508039282,2.299318776846805,0.08506224066390432,-0.14589985214393453,2.7854741914963084,1.0,161
SOLUSDT,-1,1763880000000000000,1763871300000000000,1763866800000000000,130.575,131.85,129.28,130.46,130.69,limit,130.74,129.4,1.0156862745097897,0.0921705882352937,15.0,3.212704055119501,0.029206400501142968,1.2087924059613846,0.0001508989409062072,2.949695551668889,3.4609584593787597,150.0,2.307305639585895,0.3607305936073063,3.212704055119584,0.11293634496920404,0.0970120377284196,0.7005016173368628,1.0,166
SOLUSDT,-1,1763939700000000000,1763935200000000000,1763917200000000000,132.5,133.51,130.76,132.42,132.58,limit,133.38,131.41,1.7227722772277474,0.11806930693069413,60.0,0.26382412427239654,0.08794137475744468,1.3570281100879151,-0.018815871709859534,3.822280329970076,2.4843438368982964,80.0,2.814123992238792,0.5079365079364663,1.9347102446641578,0.08000000000000124,-0.2837588895245915,2.754300769172124,1.0,178
XRPUSDT,1,1763371200000000000,1763370300000000000,1763365500000000000,2.2635,2.2575999999999996,2.2794,2.2616,2.2654,limit,2.2584,2.2736,2.6949152542370443,0.34527966101692226,15.0,0.13130063087344993,0.3751446596383094,2.1983495197435015,0.016469513933970163,1.8967682502215744,2.26962519081198,20.0,1.7256654343363897,0.2541436464088425,5.777227758430548,0.23475609756097707,0.29482143166618124,2.175680625442452,1.0,86
XRPUSDT,-1,1763426700000000000,1763417700000000000,1763414100000000000,2.157,2.172,2.1132000000000004,2.1527,2.1613,limit,2.157,2.1356,2.91999999999995,0.12941999999999892,15.0,1.787726537817612,0.9598531746671806,1.03684558949838,0.06760123496928952,2.991930759282302,3.52746041690187,155.0,3.7674237105686386,0.4921630094043792,-0.3839412698668829,-0.013093289689034426,0.28980187106451716,1.8153546669663818,1.0,92
XRPUSDT,1,1763469900000000000,1763468100000000000,1763465400000000000,2.1774500000000003,2.1693,2.2013,2.1745,2.1804,limit,2.1741,2.1897,2.9263803680979,0.24045460122697782,15.0,0.6551343969972948,0.4878660403170962,1.3526688871300712,0.0300746212363617,1.921389540032147,2.195397181426995,35.0,0.7248295456139874,0.09629629629629344,-0.08363417834006832,-0.003311258278145387,-0.02727525252796159,2.5399465896690874,1.0,105
XRPUSDT,1,1763479200000000000,1763472300000000000,1763468100000000000,2.1647499999999997,2.1489,2.2205,2.1591,2.1704,limit,2.1694,2.1945,3.5173501577287363,0.12291955835962205,15.0,1.3529123163593317,0.3647557715674714,2.6421231831517766,-0.009525644007420186,1.568027577068437,2.3377528995915253,120.0,2.0492642438972504,0.3020527859237532,1.3529123163593317,0.08179631114675164,-0.09032541279344386,3.116373893474118,1.0,106
XRPUSDT,-1,1763495400000000000,1763493600000000000,1763485200000000000,2.2334,2.2394000000000003,2.2081000000000004,2.2303,2.2365,limit,2.2379,2.2276,4.216666666666449,0.3350099999999873,60.0,0.21704216763487014,0.4805933711913801,0.8769096289139788,0.032691534596527634,1.6106277346386029,1.3797680656785516,35.0,1.4262771016002604,0.2323232323232287,-2.821548179252692,-0.10294117647058898,0.016985674259385797,0.6273040243073852,1.0,110
XRPUSDT,-1,1763501400000000000,1763498100000000000,1763494200000000000,2.22465,2.2403000000000004,2.2081000000000004,2.223,2.2263,limit,2.2393,2.2215,1.057507987220397,0.1279351437699649,15.0,0.14154181963206042,0.15726868848002834,1.553278865005963,0.04989188237535626,2.8281251168094763,0.6526650571922049,60.0,2.878016999184833,0.49593495934957904,-1.6198674913444664,-0.07330960854092726,0.6628968079978321,0.2742603079165299,0.75,110
XRPUSDT,-1,1763522400000000000,1763518800000000000,1763510400000000000,2.2094,2.2192000000000003,2.1915,2.2091,2.2097,limit,2.2179,2.1983,1.8265306122448535,0.20290408163264784,15.0,0.18968112149554653,0.23710140186946826,1.192949496184311,0.04091047826672859,2.9939874656623666,1.991651775703449,65.0,2.1181058567004802,0.3130841121495054,2.8768303426827364,0.10388127853880713,-0.1566713279165699,1.857976228598012,1.0,114
XRPUSDT,1,1763565000000000000,1763562600000000000,1763438400000000000,2.12075,2.0953999999999997,2.1489999999999996,2.1203,2.1212,limit,2.1051,2.1367,1.114398422090689,0.07529289940828275,60.0,0.9089146335196439,0.7953003043296621,2.5805108089806126,-0.08032267985017393,3.56449544167537,2.305424096479414,45.0,3.588319230249287,0.44958481613285034,0.7668967220321562,0.038225578102877654,0.028352755356380044,2.762018549922879,1.0,121
XRPUSDT,1,1763587500000000000,1763577000000000000,1763574300000000000,2.05415,2.0250999999999997,2.1485,2.0538,2.0545,limit,2.0416,2.0684,3.247848537005134,0.06363975903614404,15.0,1.650769796390685,1.942674211606102,1.3813116974624873,-0.049258476233870405,3.904409890975539,3.377032113957777,180.0,5.334804829799169,0.7748538011695644,2.415760677644912,0.0975609756097539,0.31450039254610296,2.494338933257553,1.0,123
XRPUSDT,1,1763614800000000000,1763612400000000000,1763606700000000000,2.12405,2.1178999999999997,2.1485,2.1236,2.1245,limit,2.1216,2.1387,3.9756097560973305,0.3108365853658374,15.0,0.6168730095724356,1.0623924053746954,1.759068558756988,0.08012439743613504,2.5758566160006793,3.572722847106944,45.0,2.0391080038643787,0.2258064516128929,5.980241120577133,0.2353337828725596,0.3308831116478288,2.8376641440968164,1.0,124
XRPUSDT,-1,1763691000000000000,1763687400000000000,1763685000000000000,2.0138,2.0299,1.9956,2.0124,2.0152,limit,2.0219,2.0064,1.1304347826086656,0.11257267080745183,15.0,0.9271304244928521,0.18777325053023416,0.9877277747956571,0.018955268573957195,1.4362874230351101,1.0562245342323784,65.0,1.6664875984555743,0.2145015105740205,3.3564468532273692,0.14186507936507853,-0.06934366460559083,0.8014229554377406,1.0,135
XRPUSDT,1,1763744700000000000,1763739600000000000,1763735400000000000,1.9148,1.885,1.975,1.9123,1.9173,limit,1.9146,1.9642,2.020134228187917,0.05782953020134219,15.0,1.8211563331013259,0.006173411298647865,1.0861333812967306,-0.023255581775322987,2.585221270714461,3.055838592831022,90.0,3.969503465031016,0.5970287836583231,3.6484860775012855,0.1706612763499883,0.3013836370694376,2.371381571712499,1.0,145
XRPUSDT,1,1763760600000000000,1763756700000000000,1763749800000000000,1.9275,1.9203000000000001,1.9856,1.9274,1.9276,limit,1.9296,1.9524,8.069444444444592,0.24093750000000425,15.0,0.764587342164204,0.3324292792018327,1.306192100607207,0.018753736096225125,2.0090648670349505,2.401801542233233,70.0,2.8505810691557123,0.48514851485148214,-2.4599766660935654,-0.09597924773022051,0.8395402496121438,1.3127432800142653,1.0,148
XRPUSDT,-1,1763882400000000000,1763871600000000000,1763679600000000000,2.03275,2.0748,1.944,2.0295,2.036,limit,2.0514,2.0254,2.110582639714621,0.04350713436385241,60.0,3.5238442033433546,0.07561897432063133,1.3065385790050152,0.06592148553031528,3.6242844613185357,1.1872178968345568,185.0,3.251615895788961,0.5205811138015483,1.6333698453264966,0.05901639344262365,0.04092709403000572,0.9044778482895361,1.0,166
