variant,scenario_id,ts_event_ns,client_order_id,order_side,last_price,last_quantity,native_commission,extra_cost_to_composite_model,composite_cost_rate
baseline,session-sweep-a92d5f3ef68a9d3253,1707157020000000000,O-20240205-164900-09-000-251,2,42560.8,5.357,41.03967701,129.95897719,0.00075
baseline,session-sweep-8c30c9c27bc41bedc3,1707408300000000000,O-20240208-160500-09-000-253,2,45365.0,3.624,29.5924968,93.70957320000001,0.00075
baseline,session-sweep-8c30c9c27bc41bedc3,1707411120000000000,O-20240208-160500-09-000-255,1,44973.2,3.624,32.59657536,89.64058224,0.00075
baseline,session-sweep-9d349361a32cceabf6,1707760560000000000,O-20240212-175600-09-000-256,2,49891.299999999996,3.323,29.84198218,94.49961024499999,0.00075
baseline,session-sweep-9d349361a32cceabf6,1707770760000000000,O-20240212-175600-09-000-257,1,50040.700000000004,3.323,29.9313443,94.78259027500002,0.00075
baseline,session-sweep-7fe6dec3a25df6b60b,1707844800000000000,O-20240213-172000-09-000-259,1,48599.9,1.912,16.72614158,52.96611502,0.00075
baseline,session-sweep-7fe6dec3a25df6b60b,1707855600000000000,O-20240213-202000-09-000-262,2,49199.7,1.912,16.93256875,53.61980104999999,0.00075
baseline,session-sweep-d92973c5e592ee3ac5,1709488380000000000,O-20240303-175300-09-000-263,2,62621.299999999996,3.229,36.39675199,115.256381285,0.00075
baseline,session-sweep-d92973c5e592ee3ac5,1709489520000000000,O-20240303-175300-09-000-264,1,62760.600000000006,3.229,36.47771593,115.51276712000002,0.00075
baseline,session-sweep-57ef01d4f42d441e42,1709571840000000000,O-20240304-170400-09-000-266,2,66388.9,1.717,20.51815343,64.974152545,0.00075
baseline,session-sweep-57ef01d4f42d441e42,1709572560000000000,O-20240304-170400-09-000-267,1,66714.59999999999,1.717,20.61881428,65.29291187,0.00075
baseline,session-sweep-f419a117dba88afdc5,1709576760000000000,O-20240304-182600-09-000-269,2,66411.1,1.758,21.01512848,66.54790687000002,0.00075
baseline,session-sweep-f419a117dba88afdc5,1709580000000000000,O-20240304-182600-09-000-270,1,66714.4,1.758,21.11110474,66.85183166,0.00075
baseline,session-sweep-dad0b3f65e34fabd05,1709656260000000000,O-20240305-163100-09-000-272,1,66075.2,1.003,11.92921661,37.77585258999999,0.00075
baseline,session-sweep-dad0b3f65e34fabd05,1709656560000000000,O-20240305-163100-09-000-273,2,65488.8,1.003,11.82334795,37.44060185,0.00075
baseline,session-sweep-8773e6f0adc041f349,1710267540000000000,O-20240312-181900-09-000-275,1,70965.0,1.365,17.4361005,55.21431825,0.00075
baseline,session-sweep-8773e6f0adc041f349,1710278340000000000,O-20240312-211900-09-000-278,2,70862.9,1.365,17.41101453,55.13487934499999,0.00075
